Document Name,Collection First Name,Collection Last Name,SLNSW URL (Old),SLNSW URL (New),Original Document Name,Document Description,Author First Name,Author Last Name,Document Type,Start Day,Start Month,Start Year,End Day,End Month,End Year,Transcriber 1,Transcriber 2,Transcriber 3,Transcriber 4,Transcriber 5,Digital Scans Available,Transcription Available (In Catalouge),Included in Data Set,Number of Square Brackets Fixed,Number of Angled Brackets Fixed
Diary_0001,Francis,Addy,https://archival.sl.nsw.gov.au/Details/archive/110352440,https://collection.sl.nsw.gov.au/record/1bGdlBbY,document-item-01-francis-addy-diary-9-august-1915-31-december-1917-node-72774,"Describes embarking on the Runic, 9 Aug. 1915, landing at Anzac 2 Nov. 1915, action at Gallipoli, embarking on the Simla for France, 23 Mar. 1916, action in France, leave in England 25 Nov.-7 Dec. 1916, -31 Dec. 1916 and 3 Dec. -29 Dec. 1917, and leaving Boulogne for Kemmel, Belgium",Francis,Addy,Diary,9,8,1915,31,12,1917,Lynne Frizell,Val Ridley,,,,TRUE,TRUE,TRUE,1,0
Diary_0002,Francis,Addy,https://archival.sl.nsw.gov.au/Details/archive/110352441,https://collection.sl.nsw.gov.au/record/npAdPwo1,document-item-02-francis-addy-diary-1-january-1918-29-march-1920-node-80269,"Describes camps, marches and action in Belgium, leave in Paris 28 Oct. 1918, marches through the French and Belgium countryside, camp in Charleroi, Belgium, leave in England 26 Dec. 1918, return to Charleroi 14 Jan. 1919 and return voyage to Australia on the Marathon, 7 Nov. 1919",Francis,Addy,Diary,1,1,1918,29,3,1920,John Glennon,Adrian Bicknell,,,,TRUE,TRUE,TRUE,0,0
Diary_0003,Thomas,Alcock,https://archival.sl.nsw.gov.au/Details/archive/110352447,https://collection.sl.nsw.gov.au/record/9AL4gyBY,document-item-01-thomas-alcock-diary-13-august-2-november-1917-node-80764,"Diary notebook, mainly addresses and lists of soldiers and letters sent, describing camps and action in France and Belgium and leave in England, 21 Oct-1 Nov. 1919",Thomas,Alcock,Diary,13,8,1917,2,11,1917,,,,,,TRUE,FALSE,TRUE,1,0
Diary_0004,Wilfred,Allsop,https://archival.sl.nsw.gov.au/Details/archive/110341374,https://collection.sl.nsw.gov.au/record/Yezd7WW9,document-item-01-w.-j.-a.-allsop-diary-23-july-1915-1-july-1916-node-80407,"Describes enlistment July 1915, voyage on Ascanius from Melbourne to Suez, marches and training camps in Egypt and voyage from Alexandria to Marseilles on the Transylvania, arriving 23 June 1916",Wilfred,Allsop,Diary,23,7,1915,1,7,1916,Rex Minter,Alison O'Sullivan,,,,TRUE,TRUE,TRUE,0,0
Diary_0005,Wilfred,Allsop,https://archival.sl.nsw.gov.au/Details/archive/110341375,https://collection.sl.nsw.gov.au/record/Ydmd7WP9,document-item-02-w.-j.-a.-allsop-diary-2-july--13-september-1916-node-80416,"Describes marches, billets, stretcher bearer duties with vivid descriptions of trench warfare in the front line in northern France",Wilfred,Allsop,Diary,2,7,1916,13,9,1916,Judy Gimbert,Betty Smith,,,,TRUE,TRUE,TRUE,0,0
Diary_0006,Wilfred,Allsop,https://archival.sl.nsw.gov.au/Details/archive/110341376,https://collection.sl.nsw.gov.au/record/YK5QDrGn,document-item-03-w.-j.-a.-allsop-diary-14-september-22-november-1916-node-80417,"Describes marches, billeting experiences, stretcher bearer duties, events while stationed at Armentieres, the ""No"" vote against conscription 11 October, transfer to Hazebrouck and heavy fighting in the Somme trenches",Wilfred,Allsop,Diary,14,9,1916,22,11,1916,Judy Gimbert,Alison O'Sullivan,,,,TRUE,TRUE,TRUE,0,0
Diary_0007,Wilfred,Allsop,https://archival.sl.nsw.gov.au/Details/archive/110341377,https://collection.sl.nsw.gov.au/record/93QVgXx1,document-item-04-w.-j.-a.-allsop-diary-23-november-1916-4-january-node-80615,"Describes stretcher bearer duties and trench warfare in the Delville Wood area in northern France, with descriptions of the trenches and dugouts and accounts of Christmas celebrations and visits to the dentist",Wilfred,Allsop,Diary,23,11,1916,4,1,1917,Judy Gimbert,Betty Smith,,,,TRUE,TRUE,TRUE,0,0
Diary_0008,Wilfred,Allsop,https://archival.sl.nsw.gov.au/Details/archive/110341378,https://collection.sl.nsw.gov.au/record/9Bv706m9,document-item-05-w.-j.-a.-allsop-diary-1-january-31-december-1917-node-130578,"Describes visits to the dentist, picture theatres and concerts in Vignacourt, leave in Armiens, stretcher bearer duties in the front lines and leave in England 7-22 February, events while stationed at Bapaume on return to France, with descriptions of the destruction of French villages and towns",Wilfred,Allsop,Diary,1,1,1917,31,12,1917,Judy Gimbert,Patricia Ryan,,,,TRUE,TRUE,TRUE,3,0
Diary_0009,Charles,Alwyne,https://archival.sl.nsw.gov.au/Details/archive/110319338,https://collection.sl.nsw.gov.au/record/1DrmXVP9,document-alwyne-war-diary-april---may-1915-charles-alwyne-node-130588,"Copy of a diary kept during the Gallipoli campaign, 2 April - 3 May 1915 which refers to the death of Lieutenant Colonel G. F. Braund",Charles,Alwyne,Diary,2,4,1915,3,5,1915,Judy Gimbert,,,,,TRUE,TRUE,TRUE,0,0
Diary_0010,John,Armstrong,https://archival.sl.nsw.gov.au/Details/archive/110368172,https://collection.sl.nsw.gov.au/record/94RxZ701,,"Private Armstrong's diary, kept while he was a member of the 39th Battalion, A.I.F. Includes description of voyage from Australia to England onboard the Benalla, his time in London and experiences in action in the war zone. Photograph of Private Armstrong in London after his recovery from being wounded in France, 1918",John,Armstrong,Diary,12,11,1916,24,12,1917,Judy Gimbert,,,,,TRUE,TRUE,TRUE,1,0
